Log file produced by: Storyboard Pro (StoryboardPro.exe) version 17.10.1 build 15476 2020-01-31 14:58:30
﻿2020-09-22 22:16:39;ACTION;begin accum Add Panel (CO_CommandManager.cpp,241)
﻿2020-09-22 22:16:39;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:16:39;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:16:56;ACTION;begin accum Change Scene Duration (CO_CommandManager.cpp,241)
﻿2020-09-22 22:16:56;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:16:56;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:16:56;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:16:56;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:05;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:05;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:05;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:05;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:06;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:06;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:06;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:06;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:06;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:08;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:08;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:08;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:08;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:08;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:25;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:25;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:17:25;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:17:25;ACTION;end accum (CO_CommandManager.cpp,325)
